TestDataID1,TestDataID2,TestDataID3,Depth,Iterations,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
0,2,23,3,300,0.01,0.750881102,-0.942132409,HOMO,LUMO,MolWt,SpAbs_A,ATS0dv,HeavyAtomMolWt,LabuteASA,MaxAbsPartialCharge,CT100,Kappa1
0,2,24,5,100,0.05,0.958776876,-53.08439428,HOMO,Eads100,MolWt,CT100,LogEE_A,SpAbs_A,HeavyAtomMolWt,ATS0dv,Kappa1,BalabanJ
0,2,25,3,100,0.1,0.993827626,-1.504521932,HOMO,HeavyAtomMolWt,SpAbs_A,ATS0dv,CT100,BalabanJ,LabuteASA,MolWt,Eads100,LUMO
0,2,26,5,100,0.1,0.999376606,0.184090036,HOMO,CT100,MolWt,LogEE_A,MaxAbsPartialCharge,SpAbs_A,LUMO,MinPartialCharge,HeavyAtomMolWt,LabuteASA
0,2,27,3,300,0.05,0.999322518,-11.46907166,CT100,ATS0dv,HeavyAtomMolWt,HOMO,MolWt,LabuteASA,MaxAbsPartialCharge,SpAbs_A,LogEE_A,Eads100
0,2,28,7,100,0.1,0.999806518,-0.459036,MaxAbsPartialCharge,LUMO,LogEE_A,MolWt,ATS0dv,CT100,Kappa1,Eads100,Chi0,HeavyAtomMolWt
0,2,29,3,100,0.1,0.993193842,-1.210317062,SpAbs_A,HOMO,CT100,HeavyAtomMolWt,Eads100,LabuteASA,MinPartialCharge,MaxAbsPartialCharge,ATS0dv,Kappa1
0,3,4,3,100,0.05,0.917095873,0.514872669,HOMO,ATS0dv,CT100,LUMO,MolWt,LogEE_A,LabuteASA,NumRotatableBonds,TPSA,Eads100
0,3,5,3,100,0.1,0.993257181,0.857820386,HOMO,MolWt,CT100,ATS0dv,MaxAbsPartialCharge,Eads100,SpAbs_A,LogEE_A,HeavyAtomMolWt,Kappa1
0,3,6,3,200,0.05,0.993606159,0.619467976,HOMO,ATS0dv,CT100,LUMO,MolWt,Eads100,LabuteASA,HeavyAtomMolWt,NumRotatableBonds,MaxAbsPartialCharge
0,3,7,3,100,0.1,0.991954833,0.631905801,HOMO,CT100,TPSA,MaxAbsPartialCharge,Kappa1,MinPartialCharge,LabuteASA,LUMO,HeavyAtomMolWt,BalabanJ
0,3,8,3,300,0.1,0.999998151,0.642499797,HOMO,ATS0dv,CT100,MolWt,LabuteASA,SpAbs_A,HeavyAtomMolWt,MaxAbsPartialCharge,LUMO,TPSA
0,3,9,3,100,0.05,0.914719104,0.365003276,LUMO,HOMO,NumRotatableBonds,HeavyAtomMolWt,CT100,MolWt,Eads100,BalabanJ,MaxAbsPartialCharge,LabuteASA
0,3,10,3,200,0.1,0.999917971,0.75963726,HOMO,MaxAbsPartialCharge,CT100,MolWt,LUMO,SpAbs_A,HeavyAtomMolWt,Eads100,NumRotatableBonds,LabuteASA
0,3,11,3,200,0.05,0.994110078,0.751673536,HOMO,CT100,ATS0dv,MolWt,LUMO,LogEE_A,MaxAbsPartialCharge,LabuteASA,MinPartialCharge,NumRotatableBonds
0,3,12,3,300,0.05,0.999248483,0.471846195,HOMO,ATS0dv,CT100,LUMO,Eads100,LabuteASA,MolWt,HeavyAtomMolWt,NumRotatableBonds,MinPartialCharge
0,3,13,3,300,0.1,0.999998433,0.55847723,HOMO,ATS0dv,HeavyAtomMolWt,Eads100,SpAbs_A,NumRotatableBonds,LUMO,MaxAbsPartialCharge,CT100,LabuteASA
