TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
14,18,23,3,300,0.01,0.549325346,-1.292765601,ATS0dv,LUMO,HOMO,MolWt,FractionCSP3,LogEE_A,Chi0,Kappa1,TPSA,CT100
14,18,24,7,300,0.01,0.529147917,0.672392555,HOMO,MolWt,ATS0dv,FractionCSP3,LabuteASA,Kappa1,Chi0,LUMO,LogEE_A,HeavyAtomMolWt
14,18,25,3,300,0.01,0.564453301,-1.25499651,ATS0dv,HOMO,FractionCSP3,MolWt,Kappa1,LogEE_A,LUMO,CT100,TPSA,SpAbs_A
14,18,26,3,100,0.05,0.940650011,-0.109951905,ATS0dv,HOMO,MolWt,LogEE_A,SpAbs_A,CT100,TPSA,NumRotatableBonds,BalabanJ,LabuteASA
14,18,27,3,300,0.01,0.529642281,0.692676136,ATS0dv,HeavyAtomMolWt,HOMO,LUMO,MolWt,LogEE_A,CT100,NumRotatableBonds,TPSA,Kappa1
14,18,28,3,100,0.05,0.944116175,-2.394992062,ATS0dv,HOMO,Kappa1,LogEE_A,SpAbs_A,MolWt,CT100,FractionCSP3,BalabanJ,NumRotatableBonds
14,18,29,5,300,0.01,0.55957566,-0.891201414,Chi0,ATS0dv,HOMO,HeavyAtomMolWt,LUMO,Kappa1,NumRotatableBonds,MolWt,LabuteASA,LogEE_A
14,19,20,3,200,0.01,-1.394614379,0.416189227,ATS0dv,HOMO,FractionCSP3,LUMO,SpAbs_A,Kappa1,NumRotatableBonds,LogEE_A,BalabanJ,MaxAbsPartialCharge
14,19,21,5,300,0.01,0.568080131,-6.427605522,ATS0dv,LUMO,LogEE_A,FractionCSP3,HOMO,SpAbs_A,Kappa1,Eads100,MolWt,TPSA
14,19,22,5,300,0.01,0.553752649,-0.393696214,ATS0dv,HOMO,LUMO,FractionCSP3,LogEE_A,HeavyAtomMolWt,SpAbs_A,NumRotatableBonds,MolWt,Kappa1
14,19,23,3,300,0.01,0.558852209,-3.963909302,ATS0dv,HOMO,LUMO,FractionCSP3,LogEE_A,TPSA,NumRotatableBonds,SpAbs_A,CT100,MolWt
14,19,24,5,300,0.01,0.536513335,0.516167777,HOMO,ATS0dv,FractionCSP3,LogEE_A,LUMO,Kappa1,SlogP_VSA1,MolWt,HeavyAtomMolWt,SpAbs_A
14,19,25,7,300,0.01,0.57490593,-61.51382197,ATS0dv,HOMO,FractionCSP3,LUMO,Kappa1,LogEE_A,SpAbs_A,NumRotatableBonds,MolWt,CT100
14,19,26,3,300,0.01,0.551480935,-0.341153519,ATS0dv,HOMO,LUMO,LogEE_A,FractionCSP3,TPSA,Kappa1,SpAbs_A,HeavyAtomMolWt,NumRotatableBonds
14,19,27,3,300,0.01,0.535365639,0.321927331,ATS0dv,LUMO,HOMO,LogEE_A,HeavyAtomMolWt,FractionCSP3,SpAbs_A,NumRotatableBonds,CT100,TPSA
14,19,28,3,300,0.01,0.55662064,-4.388434678,ATS0dv,HOMO,LUMO,HeavyAtomMolWt,FractionCSP3,LogEE_A,NumRotatableBonds,SpAbs_A,Kappa1,CT100
14,19,29,3,300,0.01,0.56791459,-72.30950223,ATS0dv,HOMO,LUMO,HeavyAtomMolWt,LogEE_A,NumRotatableBonds,FractionCSP3,SpAbs_A,CT100,LabuteASA
14,20,21,3,300,0.01,0.44293133,0.008146754,ATS0dv,HOMO,LUMO,FractionCSP3,Kappa1,MolWt,TPSA,BalabanJ,NumRotatableBonds,HeavyAtomMolWt
14,20,22,7,300,0.01,0.430564224,0.440698233,HOMO,ATS0dv,Chi0,FractionCSP3,MolWt,NumRotatableBonds,LUMO,LabuteASA,Kappa1,SpAbs_A
14,20,23,5,300,0.01,0.448309127,0.376657387,HOMO,ATS0dv,Chi0,LUMO,FractionCSP3,MolWt,NumRotatableBonds,SpAbs_A,LabuteASA,CT100
14,20,24,5,200,0.01,-1.633763569,0.382299616,HOMO,LUMO,ATS0dv,FractionCSP3,Kappa1,SlogP_VSA1,MolWt,CT100,NumRotatableBonds,SpAbs_A
14,20,25,3,200,0.01,-1.37676112,0.414648914,ATS0dv,FractionCSP3,LUMO,HOMO,Eads100,MolWt,CT100,NumRotatableBonds,SpAbs_A,LogEE_A
14,20,26,5,300,0.01,0.432318583,0.453110459,HOMO,ATS0dv,Kappa1,Chi0,NumRotatableBonds,MolWt,LUMO,LabuteASA,SpAbs_A,SlogP_VSA1
14,20,27,5,200,0.01,-1.532890084,0.166923244,ATS0dv,LUMO,FractionCSP3,HOMO,Eads100,SlogP_VSA1,Kappa1,MolWt,NumRotatableBonds,LogEE_A
14,20,28,7,300,0.01,0.440480821,0.366347122,HOMO,Chi0,ATS0dv,Kappa1,LUMO,MolWt,SpAbs_A,NumRotatableBonds,FractionCSP3,CT100
14,20,29,3,200,0.01,-1.391565595,0.337048278,ATS0dv,LUMO,HOMO,MolWt,Kappa1,LogEE_A,NumRotatableBonds,SpAbs_A,CT100,MinPartialCharge
14,21,22,7,100,0.05,0.956999249,-4.749019708,ATS0dv,Kappa1,HOMO,LabuteASA,MolWt,SpAbs_A,Chi0,LUMO,NumRotatableBonds,FractionCSP3
14,21,23,3,100,0.05,0.949126605,-5.101289424,ATS0dv,HOMO,LUMO,Kappa1,FractionCSP3,Chi0,SpAbs_A,MolWt,LabuteASA,TPSA
14,21,24,7,100,0.05,0.950597776,-0.267632991,ATS0dv,Kappa1,HOMO,SpAbs_A,Chi0,LUMO,MolWt,PEOE_VSA1,LabuteASA,FractionCSP3
14,21,25,7,100,0.05,0.956209835,-5.665508437,ATS0dv,LUMO,Kappa1,FractionCSP3,HOMO,SpAbs_A,MolWt,PEOE_VSA1,BalabanJ,TPSA
14,21,26,7,100,0.05,0.954435897,-5.250446074,ATS0dv,LUMO,Kappa1,HOMO,FractionCSP3,MolWt,SpAbs_A,NumRotatableBonds,TPSA,PEOE_VSA1
14,21,27,5,100,0.05,0.952142163,-1.445492864,ATS0dv,LUMO,FractionCSP3,HOMO,Kappa1,PEOE_VSA1,SpAbs_A,MolWt,SlogP_VSA1,TPSA
14,21,28,5,100,0.05,0.954540226,-7.217336772,ATS0dv,LUMO,FractionCSP3,HOMO,Kappa1,SpAbs_A,MolWt,PEOE_VSA1,SlogP_VSA1,NumRotatableBonds
14,21,29,7,300,0.05,0.999994132,-5.056967937,ATS0dv,LUMO,Kappa1,PEOE_VSA1,SpAbs_A,HOMO,LabuteASA,MolWt,Chi0,FractionCSP3
14,22,23,7,300,0.05,0.999994144,0.020873636,Kappa1,ATS0dv,NumRotatableBonds,LabuteASA,HOMO,SpAbs_A,MolWt,Chi0,LogEE_A,SlogP_VSA1
14,22,24,3,200,0.1,0.999995045,0.751182119,HOMO,NumRotatableBonds,LogEE_A,SpAbs_A,LabuteASA,ATS0dv,FractionCSP3,Kappa1,MolWt,TPSA
14,22,25,7,100,0.05,0.95612377,-0.122626778,ATS0dv,Kappa1,HOMO,FractionCSP3,SpAbs_A,MolWt,LabuteASA,HeavyAtomMolWt,NumRotatableBonds,LogEE_A
14,22,26,3,300,0.05,0.999904919,-0.220823467,Chi0,HOMO,ATS0dv,NumRotatableBonds,HeavyAtomMolWt,SpAbs_A,MolWt,LabuteASA,TPSA,LogEE_A
0,15,16,5,100,0.05,0.9360135,0.822836139,Kappa1,SpAbs_A,HOMO,ATS0dv,SlogP_VSA1,LUMO,MolWt,NumRotatableBonds,BalabanJ,HeavyAtomMolWt
14,22,28,7,300,0.05,0.999993649,0.762982113,ATS0dv,SpAbs_A,HOMO,LabuteASA,NumRotatableBonds,MolWt,LogEE_A,Eads100,FractionCSP3,Kappa1
14,22,29,5,100,0.05,0.957076201,0.549869545,ATS0dv,SpAbs_A,HOMO,Eads100,MolWt,Chi0,NumRotatableBonds,SlogP_VSA1,Kappa1,LabuteASA
14,23,24,7,300,0.01,0.541856627,0.833627996,HOMO,LUMO,ATS0dv,HeavyAtomMolWt,FractionCSP3,Kappa1,SpAbs_A,LogEE_A,MolWt,LabuteASA
14,23,25,3,300,0.01,0.571715392,-3.4950134,LUMO,ATS0dv,HOMO,FractionCSP3,TPSA,MolWt,BalabanJ,LogEE_A,CT100,SpAbs_A
14,23,26,7,100,0.05,0.95561478,-0.072906673,ATS0dv,HOMO,Kappa1,SpAbs_A,LabuteASA,MolWt,NumRotatableBonds,LogEE_A,MinPartialCharge,CT100
14,23,27,3,300,0.01,0.540567468,0.905601448,LUMO,ATS0dv,HOMO,LogEE_A,MolWt,Kappa1,CT100,FractionCSP3,LabuteASA,NumRotatableBonds
14,23,28,7,300,0.01,0.566563098,-3.615904179,LUMO,HOMO,ATS0dv,FractionCSP3,MolWt,LogEE_A,NumRotatableBonds,SpAbs_A,Kappa1,HeavyAtomMolWt
14,23,29,3,300,0.01,0.557121872,0.53677266,LUMO,ATS0dv,HOMO,Chi0,Kappa1,MolWt,Eads100,CT100,LabuteASA,TPSA
14,24,25,3,300,0.01,0.530626175,0.657711169,LUMO,ATS0dv,HOMO,FractionCSP3,Kappa1,LogEE_A,TPSA,SpAbs_A,MolWt,LabuteASA
14,24,26,7,100,0.05,0.953582833,0.748335207,ATS0dv,HOMO,Kappa1,LabuteASA,SpAbs_A,LogEE_A,MolWt,FractionCSP3,Eads100,PEOE_VSA1
14,24,27,7,300,0.01,0.507845792,0.671669723,LUMO,HOMO,ATS0dv,Kappa1,LogEE_A,FractionCSP3,MolWt,SlogP_VSA1,SpAbs_A,LabuteASA
14,24,28,5,300,0.01,0.526309238,0.736375387,LUMO,HOMO,ATS0dv,Kappa1,LogEE_A,SpAbs_A,FractionCSP3,TPSA,MolWt,HeavyAtomMolWt
14,24,29,5,300,0.01,0.5301248,0.805023166,Chi0,Eads100,HOMO,ATS0dv,HeavyAtomMolWt,Kappa1,TPSA,SpAbs_A,LUMO,MolWt
