TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,MinSamplesSplit,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
6,8,22,7,100,2,0.873156961,-0.193332661,LUMO,HOMO,CT100,ATS0dv,Eads100,BalabanJ,LabuteASA,MaxAbsPartialCharge,Kappa1,NumRotatableBonds
6,8,23,5,300,2,0.87285978,-42.60723519,LUMO,HOMO,ATS0dv,CT100,MolWt,MaxAbsPartialCharge,Eads100,BalabanJ,MinPartialCharge,NumRotatableBonds
6,8,24,5,200,2,0.86764069,-0.071381052,HOMO,LUMO,CT100,ATS0dv,MaxAbsPartialCharge,MolWt,Eads100,MinPartialCharge,SpAbs_A,BalabanJ
6,8,25,3,100,2,0.817965342,-29.41931998,LUMO,HOMO,ATS0dv,CT100,BalabanJ,MinPartialCharge,MolWt,MaxAbsPartialCharge,LabuteASA,Kappa1
6,8,26,3,100,5,0.77698042,-0.170118678,LUMO,HOMO,ATS0dv,CT100,LabuteASA,TPSA,MinPartialCharge,BalabanJ,NumRotatableBonds,Chi0
6,8,27,5,300,5,0.814740687,-1.079461177,LUMO,ATS0dv,HOMO,CT100,BalabanJ,NumRotatableBonds,MaxAbsPartialCharge,MolWt,Kappa1,Eads100
6,8,28,3,100,2,0.819068247,-14.16602249,LUMO,HOMO,CT100,ATS0dv,BalabanJ,MinPartialCharge,LabuteASA,Chi0,Eads100,MaxAbsPartialCharge
6,8,29,7,100,2,0.868164519,-18.02870304,LUMO,HOMO,CT100,ATS0dv,BalabanJ,Eads100,LabuteASA,Chi0,MaxAbsPartialCharge,MinPartialCharge
6,9,10,3,200,10,0.723354195,-1.561899808,LUMO,HOMO,ATS0dv,CT100,NumRotatableBonds,MolWt,MaxAbsPartialCharge,Eads100,MinPartialCharge,HeavyAtomMolWt
6,9,11,3,200,10,0.731874022,-2.343427513,LUMO,HOMO,ATS0dv,NumRotatableBonds,CT100,MaxAbsPartialCharge,MolWt,BalabanJ,Eads100,MinPartialCharge
6,9,12,3,200,10,0.72925752,-1.017683304,LUMO,HOMO,ATS0dv,NumRotatableBonds,CT100,MaxAbsPartialCharge,MolWt,MinPartialCharge,Eads100,HeavyAtomMolWt
6,9,13,3,100,10,0.736845017,-0.589804486,LUMO,HOMO,MolWt,ATS0dv,CT100,NumRotatableBonds,BalabanJ,MaxAbsPartialCharge,Eads100,HeavyAtomMolWt
6,9,14,3,300,10,0.733082849,-1.516368381,LUMO,HOMO,ATS0dv,NumRotatableBonds,MolWt,MaxAbsPartialCharge,CT100,MinPartialCharge,BalabanJ,Eads100
6,9,15,5,200,10,0.750160802,-2.198693678,LUMO,HOMO,ATS0dv,NumRotatableBonds,CT100,BalabanJ,MaxAbsPartialCharge,MinPartialCharge,MolWt,HeavyAtomMolWt
6,9,16,3,200,10,0.730806212,-2.105428968,LUMO,HOMO,ATS0dv,NumRotatableBonds,CT100,MaxAbsPartialCharge,BalabanJ,MolWt,HeavyAtomMolWt,MinPartialCharge
6,9,17,3,300,10,0.741395582,-2.631428866,LUMO,HOMO,MaxAbsPartialCharge,NumRotatableBonds,ATS0dv,MinPartialCharge,MolWt,CT100,HeavyAtomMolWt,BalabanJ
6,9,18,3,200,10,0.724339365,-1.815360422,LUMO,HOMO,ATS0dv,CT100,MaxAbsPartialCharge,BalabanJ,NumRotatableBonds,MolWt,MinPartialCharge,HeavyAtomMolWt
6,9,19,3,100,10,0.720219538,-1.440061635,LUMO,HOMO,ATS0dv,CT100,BalabanJ,NumRotatableBonds,MolWt,Eads100,MinPartialCharge,HeavyAtomMolWt
6,9,20,3,300,10,0.771502389,-0.12829229,HOMO,LUMO,NumRotatableBonds,MaxAbsPartialCharge,ATS0dv,MinPartialCharge,MolWt,Eads100,BalabanJ,CT100
6,9,21,3,300,10,0.810730373,-6.258949105,LUMO,ATS0dv,HOMO,MaxAbsPartialCharge,Eads100,MinPartialCharge,MolWt,CT100,FractionCSP3,HeavyAtomMolWt
6,9,22,3,100,10,0.719199022,-2.175811593,LUMO,HOMO,CT100,ATS0dv,MaxAbsPartialCharge,Eads100,HeavyAtomMolWt,NumRotatableBonds,MolWt,MinPartialCharge
6,9,23,3,100,10,0.713615875,-1.580878509,LUMO,HOMO,CT100,ATS0dv,MolWt,MaxAbsPartialCharge,Eads100,BalabanJ,NumRotatableBonds,MinPartialCharge
6,9,24,3,100,10,0.738326586,0.101333392,LUMO,HOMO,CT100,MolWt,MaxAbsPartialCharge,Eads100,LabuteASA,Kappa1,ATS0dv,HeavyAtomMolWt
